Best 10 Tweets:
1,Protesters stage #DieIn protests in @Apple store in NYC Is it me or is this anger misplaced? RETWEET if you agree
2,RT @TeamCavuto Protesters stage #DieIn protests in @Apple store in NYC Is it me or is this anger misplaced? RETWEET if you agree
3,"Siri be on that bull shit telling me ""its"" not gonna rain and shit da fuck I pay for her for @apple"
4,fuck apple for allowing ppl to access the camera when the phone is locked fuck you fuck you @apple
5,"Apple sux ""@TeamCavuto"" Protesters stage protests in @Apple store in NYC Is it me or is this anger misplaced? RETWEET if you ""agree"""
6,@apple I hate the microphone shit on the imessage please take it the fuck off
7,"""Im"" so done with this piece of shit phone why ""doesnt"" it ever send me notifications when taylor tweets fuck u @apple"
8,"Idk if ""its"" my phone or WHAT ! Ip6 ""aint"" shit but problems @apple fix this shit !!"
9,Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it
10,the fuck kinda gay shit you print in the fucking ketosis @apple
 
Worst 10 Tweets:
1,Love my @apple #macbookpro Best ever http//tco/NW0L3w5B7F http//tco/hau6j9Y489
2,"#Kantar @Apple #Apple On Track For ""Record"" ""Quarter"" As #iPhone6 Sales Bump Up Its  (#Wednesday 3 #December) http//tco/HDmGr8fwYA"
3,Huge iPhone 6 Sales Push iOS market Share Up Worldwide Report $AAPL #aapl\r\nhttp//tco/Ogook0fGLQ
4,iPhone 6 Plus Makes Up 41% of Large Phone Sales as iPhone 6 Leads iOS Devices iOS Blog http//tco/H2U3zIpG82 #AAPL
5,Best Buy Cuts Apple Inc iPad Prices to Boost Sales http//tco/ca3m9oiAYb #AAPL #iPad
6,RT @recentrates Best Buy Cuts Apple Inc iPad Prices to Boost Sales http//tco/ca3m9oiAYb #AAPL #iPad
7,"2) @Apple ""Ive"" got one question for yall Who is the genius who decided CAPITALIZING random words was a good idea? Bec it ""wasnt"" a good idea"
8,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL ""its"" extended so ""todays"" pullback is good to see"
9,"@shortyawards @Apple it is very confusing u wonder if it means u are going to get a bill later for Ur download please use free if ""its"" free"
10,#AAPL Shorting Apple @ 116 $ Love the company love their products everybody admires Apple but the capitalization is way too wild
